Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,38107118802
AA,Alcoa,Aluminum,6440275811
AAC,Ares Acquisition,Shell Companies,751649766
AACG,ATA Creativity Global,Education & Training Services,46747132
AACI,Armada Acquisition I,Shell Companies,212686565
AACT,Ares Acquisition Corporation II,Shell Companies,573187500
AADI,Aadi Bioscience,Biotechnology,187187420
AAIC,Arlington Asset Investment,REIT - Mortgage,73453436
AAL,American Airlines Group,Airlines,9675429304
AAMC,Altisource Asset Management,Asset Management,170496403
AAME,Atlantic American,Insurance - Life,45418856
AAN,The Aaron's Company,Rental & Leasing Services,388831446
AAOI,Applied Optoelectronics,Semiconductors,49924647
AAON,"AAON, Inc.",Building Products & Equipment,4959781834
AAP,Advance Auto Parts,Specialty Retail,6959336858
AAPL,Apple,Consumer Electronics,2755039164867
AAT,American Assets Trust,REIT - Diversified,1458762572
AAU,Almaden Minerals,Gold,16480241
AB,AllianceBernstein Holding L.P.,Asset Management,3902401920
ABB,ABB Ltd,Electrical Equipment & Parts,69819907799
ABBV,AbbVie,Drug Manufacturers - General,256016128865
ABC,AmerisourceBergen,Medical Distribution,35069514620
ABCB,Ameris Bancorp,Banks - Regional,2153365980
ABCL,AbCellera Biologics,Biotechnology,1686171520
ABCM,Abcam,Biotechnology,3854701100
ABEO,Abeona Therapeutics,Biotechnology,58212420
ABEV,Ambev,Beverages - Brewers,45354239263
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4397909243
ABIO,ARCA biopharma,Biotechnology,29398045
ABM,ABM Industries,Specialty Business Services,2882221600
ABNB,Airbnb,Travel Services,65852502328
ABOS,Acumen Pharmaceuticals,Biotechnology,244509596
ABR,Arbor Realty Trust,REIT - Mortgage,2228280202
ABSI,Absci,Biotechnology,128564158
ABST,Absolute Software,Software - Application,606314572
ABT,Abbott Laboratories,Medical Devices,189423825243
ABUS,Arbutus Biopharma,Biotechnology,426964380
ABVC,ABVC BioPharma,Biotechnology,24136340
AC,Associated Capital Group,Capital Markets,869996246
ACA,Arcosa,Infrastructure Operations,3336333672
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,112856424
ACAC,Acri Capital Acquisition,Shell Companies,92028750
ACAD,ACADIA Pharmaceuticals,Biotechnology,3953413556
ACAH,Atlantic Coastal Acquisition,Shell Companies,123156488
ACAQ,Athena Consumer Acquisition,Shell Companies,257442000
ACAX,Alset Capital Acquisition,Shell Companies,116488866
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,227745223
ACBA,Ace Global Business Acquisition,Shell Companies,67320480
ACCD,Accolade,Health Information Services,796719880
ACCO,ACCO Brands,Business Equipment & Supplies,487875436
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1876164506
ACEL,Accel Entertainment,Gambling,808447978
ACER,Acer Therapeutics,Biotechnology,19925644
ACET,Adicet Bio,Biotechnology,269773728
ACGL,Arch Capital Group,Insurance - Diversified,28311597068
ACGN,Aceragen,Biotechnology,14151480
ACHC,Acadia Healthcare Company,Medical Care Facilities,6676197428
ACHL,Achilles Therapeutics,Biotechnology,41757270
ACHR,Archer Aviation,Aerospace & Defense,713628520
ACHV,Achieve Life Sciences,Biotechnology,134510766
ACI,Albertsons Companies,Grocery Stores,11628288266
ACIU,AC Immune,Biotechnology,167240800
ACIW,ACI Worldwide,Software - Infrastructure,2635474260
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,4631564649
ACLX,Arcellx,Biotechnology,1987410835
ACM,AECOM,Engineering & Construction,11019841354
ACMR,ACM Research,Semiconductor Equipment & Materials,567370914
ACN,Accenture,Information Technology Services,183087451397
ACNB,ACNB Corporation,Banks - Regional,253140822
ACNT,Ascent Industries Co.,Steel,98575401
ACON,Aclarion,Health Information Services,5500706
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,18730294
ACR,ACRES Commercial Realty,REIT - Mortgage,71379825
ACRE,Ares Commercial Real Estate,REIT - Mortgage,479447704
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,439875010
ACRS,Aclaris Therapeutics,Diagnostics & Research,578157492
ACRV,Acrivon Therapeutics,Biotechnology,281091320
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,8642214
ACST,Acasti Pharma,Biotechnology,21628285
ACT,Enact Holdings,Insurance - Specialty,3907028387
ACTG,Acacia Research,Specialty Business Services,233036164
ACU,Acme United,Household & Personal Products,87880670
ACVA,ACV Auctions,Auto & Truck Dealerships,2798557323
ACXP,Acurx Pharmaceuticals,Biotechnology,35365554
ADAG,Adagene,Biotechnology,65221323
ADAP,Adaptimmune Therapeutics,Biotechnology,217069620
ADBE,Adobe,Software - Infrastructure,170292375000
ADC,Agree Realty,REIT - Retail,6144570512
ADCT,ADC Therapeutics,Biotechnology,205638365
ADD,Color Star Technology Co.,Entertainment,10813761
ADEA,Adeia,Software - Application,986798080
ADER,26 Capital Acquisition,Shell Companies,110574785
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,45313166
ADEX,Adit EdTech Acquisition,Shell Companies,97514842
ADI,Analog Devices,Semiconductors,96380170566
ADIL,Adial Pharmaceuticals,Biotechnology,9125312
ADM,Archer-Daniels-Midland Company,Farm Products,39883621636
ADMA,ADMA Biologics,Biotechnology,911319267
ADMP,Adamis Pharmaceuticals,Drug Manufacturers - Specialty & Generic,8324150
ADN,Advent Technologies Holdings,Utilities - Renewable,45237685
ADNT,Adient,Auto Parts,3356228106
ADOC,Edoc Acquisition,Shell Companies,39876342
ADP,Automatic Data Processing,Staffing & Employment Services,89308931869
ADPT,Adaptive Biotechnologies,Biotechnology,906273130
ADRT,Ault Disruptive Technologies,Shell Companies,151656250
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,293791037
ADSK,Autodesk,Software - Application,43021194563
ADT,ADT Inc.,Security & Protection Services,5529503580
ADTH,AdTheorent Holding Company,Advertising Agencies,126446838
ADTN,ADTRAN Holdings,Communication Equipment,689806946
ADTX,Aditxt,Biotechnology,3407911
ADUS,Addus HomeCare,Medical Care Facilities,1435538937
ADV,Advantage Solutions,Advertising Agencies,589963920
ADVM,Adverum Biotechnologies,Biotechnology,83175525
ADXN,Addex Therapeutics,Biotechnology,12595817
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,85545450
AEAE,AltEnergy Acquisition,Shell Companies,296412500
AEE,Ameren,Utilities - Regulated Electric,22090668407
AEG,Aegon,Insurance - Diversified,9292271026
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,25369707
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,934027072
AEI,Alset EHome International,Real Estate - Development,13999684
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3482001349
AEL,American Equity Investment Life Holding Company,Insurance - Life,3020225220
AEM,Agnico Eagle Mines,Gold,26711242476
AEMD,Aethlon Medical,Medical Devices,7177906
AENZ,Aenza,Engineering & Construction,179990500
AEO,American Eagle Outfitters,Apparel Retail,2399690977
AEP,American Electric Power Company,Utilities - Regulated Electric,44560309652
AER,AerCap Holdings,Rental & Leasing Services,13968949280
AES,The AES Corporation,Utilities - Diversified,13928882160
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1010376640
AEVA,Aeva Technologies,Auto Parts,213772198
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,8823058
AEYE,AudioEye,Software - Application,72362856
AEZS,Aeterna Zentaris,Biotechnology,14373890
AFAR,Aura FAT Projects Acquisition,Shell Companies,153304200
AFBI,Affinity Bancshares,Banks - Regional,80237023
AFCG,AFC Gamma,REIT - Specialty,232181275
AFG,American Financial Group,Insurance - Property & Casualty,9980504980
AFIB,Acutus Medical,Medical Devices,26214470
AFL,Aflac,Insurance - Life,40410702295
AFMD,Affimed,Biotechnology,161286129
AFRI,Forafric Global,Farm Products,277392312
AFRM,Affirm Holdings,Software - Infrastructure,3830577297
AFTR,AfterNext HealthTech Acquisition,Shell Companies,321249990
AFYA,Afya Limited,Education & Training Services,1114364140
AG,First Majestic Silver,Silver,1701850400
